nr_escuela_colegio,nr_PAE,fcs,csi_alimentos_menos_preferidos,csi_pedir_prestados_alimentos,csi_reducir_numero_comidas,csi_reducir_tamano_porciones,csi_reducir_adultos,fcs_carne,fcs_vegetales
5,4,23.0,7,0,7,7,7,0,1
6,6,107.0,7,0,0,0,0,7,5
7,2,28.5,2,3,3,4,3,2,0
2,0,95.0,1,0,0,0,0,7,0
5,0,99.0,1,0,0,5,0,7,6
7,7,86.0,4,4,7,4,5,7,0
4,0,21.0,4,2,0,7,7,0,0
3,3,30.0,0,0,0,0,0,0,0
3,2,28.0,7,0,0,2,0,0,0
1,0,60.0,7,0,0,2,2,7,0
5,3,98.0,3,4,3,2,3,7,2
4,4,37.5,4,0,5,5,4,2,0
2,2,41.0,3,0,4,5,5,3,0
4,4,26.0,7,0,2,7,7,2,0
4,4,26.0,7,0,2,7,7,2,0
4,3,38.5,7,3,3,6,7,0,0
4,3,38.5,7,3,3,6,7,0,0
2,2,99.0,4,0,2,0,0,7,2
2,2,87.0,7,0,7,7,7,7,7
_,_,19.0,1,2,1,1,2,2,1
0,_,86.0,4,1,1,2,1,7,0
3,3,38.0,1,0,2,2,3,4,2
7,7,31.5,3,3,4,7,5,2,0
6,6,69.0,5,3,4,3,3,4,0
2,1,54.0,3,2,7,4,4,7,1
3,1,75.5,7,0,3,7,4,7,7
1,1,70.0,7,0,0,0,0,3,5
1,1,70.0,7,0,0,0,0,3,5
1,1,70.0,7,0,0,0,0,3,5
1,1,70.0,7,0,0,0,0,3,5
4,0,82.0,3,0,0,0,0,7,2
4,0,82.0,3,0,0,0,0,7,2
1,0,51.5,7,0,0,0,0,7,0
3,3,28.0,7,2,0,7,7,1,0
0,_,20.5,6,0,0,2,0,0,0
0,_,20.5,6,0,0,2,0,0,0
0,_,20.5,6,0,0,2,0,0,0
0,_,20.5,6,0,0,2,0,0,0
3,3,65.0,3,2,0,0,0,7,3
1,0,52.0,1,0,7,0,0,7,0
6,6,98.0,0,0,0,0,0,7,0
5,5,64.0,1,7,7,7,7,7,3
2,2,49.5,4,0,0,0,0,2,0
3,3,97.0,2,2,0,2,2,7,4
4,0,64.0,1,0,2,5,7,7,0
2,2,86.0,4,4,7,3,3,6,7
4,4,80.0,3,0,7,1,0,6,1
4,2,112.0,0,0,0,0,2,7,7
5,5,51.0,3,4,7,3,2,6,0
6,6,108.0,2,0,2,2,4,7,7
4,0,59.0,1,0,0,0,0,7,0
1,0,29.0,5,4,7,5,5,2,0
1,0,29.0,5,4,7,5,5,2,0
1,1,44.0,7,2,4,7,3,2,0
1,1,44.0,7,2,4,7,3,2,0
